                                  UID     Pred_19Q2     Pred_19Q3
175        1-10MDH-11930-BPS Indirect    82112.0444    76922.0015
176           1-1I5-1147-BPS Indirect    41102.9805    22674.7121
177            1-10LZ6-8864-OPS HW A3   189712.0642  -208900.2595
178 1-10LZ6-23334-BPS Attach Indirect    10100.5156    11647.7551
179         1-10LQI-8220-BPS Indirect    87047.7923  3449921.4492
180         1-10LT8-23031-Print Value   -58003.4113    -4001.4501
181         1-10LT8-11452-Print Value   -73223.0917  -607502.3034
182        1-10LT8-10266-BPS Indirect   224531.0237   225255.8574
183  1-10LZ6-11299-Print Support Svcs    33855.0141    26418.9985
184           1-10LT8-22884-OPS HW A3  -253261.6445    22033.9713
185         1-10LQI-7254-BPS Indirect  -199629.5687  -193173.9781
186        1-10M99-14782-BPS Indirect    23718.9901    69761.4354
187                1-X08NHH-OPS HW A3    59504.0106    24994.4963
188          1-10M6L-5781-Print Value    29846.8123    29576.7746
189             1-10LT8-7927-PC Value    27469.1182   175731.4061
190        1-10M46-23521-BPS Indirect   218846.7978  -479209.0998
191        1-10M99-21846-BPS Indirect  -498878.5965  -404498.8918
192        1-10M6L-22976-BPS Indirect  -375494.1364   -91161.5003
193           1-10MDH-14966-OPS HW A4    19781.2900    27479.1354
194        1-10LZ6-15744-BPS Indirect   104393.8924    87780.6680
195                1-VTJZJ3-OPS HW A4    33446.5935    16162.2655
196        1-10LT8-18632-BPS Indirect   267566.7372   310086.6835
197               1-10LZ6-15119-PL UK    78703.3038  -363416.3322
198      1-10LT8-12168-BPS Attach STM   154335.3543   127225.3645
199              1-10LQI-2044-BPS STM   480451.9652   455682.0798
200            1-10LQI-14217-PC Value   316660.4152   460139.5991
201        1-10LQI-13789-BPS Indirect  -121484.6230  -104343.9336
202                 1-11CBZ-41-HPS HW  -208689.9117  -399530.7877
203           1-10M99-21059-OPS HW A3  -177934.1890  -529835.5779
204            1-10LT8-6657-OPS HW A4    63889.0586    42640.2417
205               991000293518-HPS HW    17079.7034    22467.9124
206            1-10M46-11056-PC Value   546698.0414   315049.2795
207            1-10LZ6-18292-PC Value    65366.3246    77880.9568
208         1-10LT8-8293-BPS Indirect   -43603.6810  -922331.2453
209        1-10P1I-10260-BPS Indirect   715446.7154   569615.4933
210            1-10LT8-18061-PC Value     4700.7748    -1599.5740
211            1-10LT8-1613-OPS HW A4    51878.5589    -7288.9454
212        1-10M6L-21815-BPS Indirect   133893.3199    93261.1140
213  1-10LZ6-8864-BPS Attach Indirect    18586.6725    35364.8738
214           1-10LQI-13745-OPS HW A4    88294.8122   152894.7433
215            1-10P1I-12168-PC Value   239435.6608   189053.9231
216             1-10M46-9277-PC Value     -300.2967    48865.4932
217         1-10LT8-2138-BPS Indirect   -33480.3499  -255813.1165
218        1-10MDH-15533-BPS Indirect    28822.4090    89073.1436
219        1-10LQI-13897-BPS Indirect   354911.5999    78032.0392
220        1-10M6L-20038-BPS Indirect   -94367.9099   -61116.1779
221        1-10LQI-17404-BPS Indirect    16540.5716  -235423.4948
222  1-10MDH-21179-Print Support Svcs    10588.4298    13192.5180
223              1-Z9JCBS-Print Value   178904.9437   212745.9805
224 1-10LZ6-17042-BPS Attach Indirect    66743.4403    52068.2034
225             1-11M5G-506-OPS HW A3  -104814.6678  -204588.6840
226              1-10M6L-12153-HPS HW   169485.2806   281535.1490
227          1-10LQI-4773-Print Value   -93265.9543  -205696.6191
228        1-10MDH-24694-BPS Indirect  -275515.6004  -533695.0932
229        1-10LZ6-15730-BPS Indirect  1391115.3729  1437634.1398
230  1-10LT8-4104-BPS Attach Indirect   -12156.0624   -80324.4483
231  1-10LT8-9110-BPS Attach Indirect   164018.6422   177520.1165
232          1-10M6L-4765-Print Value    54887.8706    31172.2589
233     1-P5IJ-36-BPS Attach Indirect    -7752.5417   -15641.2378
234            1-10LZ6-15856-PC Value   247648.8984   445613.8133
235           1-10LT8-23525-OPS HW A4   300157.3937   410222.9963
236 1-10M46-14179-BPS Attach Indirect   139273.2648   294054.8141
237                1-10LZ6-1557-PL UK    34555.3340    46273.8217
238            1-10M99-24311-PC Value    70463.8511   135772.1013
239         1-10LT8-2384-BPS Indirect    77841.1239   125248.0337
240         1-10M6L-7332-BPS Indirect    -1287.2323   -92929.7600
241      1-ZIJD34-BPS Attach Indirect    23003.1148    24842.1974
242        1-10LT8-10295-BPS Indirect   -78856.8759   -54145.9176
243           1-10LQI-10643-OPS HW A3  -166654.3240   234419.6484
244         1-10LZ6-3355-BPS Indirect   285887.2827   344176.2987
245          1-10LZ6-8940-Print Value    44010.8323    21121.2312
246        1-10LZ6-10357-BPS Indirect   387804.8000   387804.8000
247 1-10M99-24175-BPS Attach Indirect    -3713.1889   -17455.1975
248                1-11H6P-8237-PL UK    14283.8200   -12862.9019
249        1-10LQI-24871-BPS Indirect    45678.2882    -3719.0722
250         1-10LQI-9720-BPS Indirect   779160.4821   483354.4756
251        1-10M46-14179-BPS Indirect   373503.5397   370219.6134
252             1-10LT8-7945-PC Value -1001326.9268   -77514.5610
253         1-10M99-2424-BPS Indirect  -468468.9636  -604682.4601
254         1-10LQI-14722-Print Value   377373.5469   590712.3716
255        1-10LT8-24673-BPS Indirect   115476.1248   192012.0352
256           1-10LT8-15209-OPS HW A3    83425.0989   -26708.8873
257           1-10M6L-15424-OPS HW A4    17537.8123    12904.1165
258              1-10M99-13044-HPS HW  -303553.5062  -291809.9248
259              1-10ZHY-387-PC Value    19900.6286   -14194.2057
260              1-10M6L-22769-HPS HW    26155.7604    29674.7318
261            1-10M6L-19727-PC Value  -356002.6596   -24428.8528
262           1-10LT8-23444-OPS HW A4    21260.9681   482963.3373
263      1-10LQI-14722-BPS Attach STM    76316.2205   -70267.6496
264 1-10LT8-12658-BPS Attach Indirect    81084.6272    50961.1909
265         1-10M46-6448-BPS Indirect  -123943.6510  -431132.9496
266           1-116VH-113-Print Value    42490.2520    71618.9785
267           1-10LQI-12378-OPS HW A3    83286.9397    -5570.2107
268            1-10M99-20408-PC Value    18364.4282  -347929.1052
269            1-10LQI-19686-PC Value   322878.0133  3748016.1358
270        1-10M46-18718-BPS Indirect    -4251.3469    88636.8610
271            1-10M46-16238-PC Value    81584.3802    11435.6798
272  1-10LT8-22536-Print Support Svcs    27847.7699     5651.7903
273         1-10LT8-23088-Print Value   381793.6845   422350.6588
274              1-10LQI-13750-HPS HW  -204184.5700  -194629.6520
275  1-10LT8-1052-BPS Attach Indirect    83695.6092  -118511.6290
276         1-10M46-17068-Print Value     8477.6413    -5808.4560
277             1-10M99-2218-PC Value   168206.2474    49985.1368
278                1-116VH-113-HPS HW    20959.2932    31019.1397
279         1-10LQI-4269-BPS Indirect   738748.6254  1005014.6148
280            1-10LQI-15641-PC Value    54507.3057    75902.9266
281         1-10LQI-8457-BPS Indirect   113220.8768  1930506.1479
282              1-10LQI-10793-HPS HW    73838.8203   137877.1822
283        1-10MDH-16334-BPS Indirect  -409436.6543   433268.1744
284           1-10LQI-15186-OPS HW A3    36749.9602    48950.4783
285                1-Z9JCBS-OPS HW A3   135689.1080   182048.3170
286              1-10LZ6-837-PC Value   152261.6978   -32686.9110
